Flight,F-IATA,F-City,F-Country,F-Term,F-Time,T-IATA,T-City,T-Country,T-Term,T-Time,Distance,Duration
EZY2164,AMS,Amsterdam,Netherlands,,13:50,MAN,Manchester,United Kingdom,Terminal 1,14:10,303,80
EZY2166,AMS,Amsterdam,Netherlands,,18:35,MAN,Manchester,United Kingdom,Terminal 1,18:55,303,80
EZY2168,AMS,Amsterdam,Netherlands,,21:55,MAN,Manchester,United Kingdom,Terminal 1,22:15,303,80
EZY2180,AMS,Amsterdam,Netherlands,,17:05,MAN,Manchester,United Kingdom,Terminal 1,17:25,303,80
EZY7807,AMS,Amsterdam,Netherlands,,07:20,BGY,Milan Bergamo,Italy,,09:10,575,110
EZY7805,AMS,Amsterdam,Netherlands,,17:00,LIN,Milan Linate,Italy,,18:40,482,100
EZY3852,AMS,Amsterdam,Netherlands,,08:50,MXP,Milan Malpensa,Italy,T2,10:35,495,105
EZY3854,AMS,Amsterdam,Netherlands,,13:50,MXP,Milan Malpensa,Italy,T2,15:35,495,105
EZY3856,AMS,Amsterdam,Netherlands,,18:45,MXP,Milan Malpensa,Italy,T2,20:30,495,105
EZY3860,AMS,Amsterdam,Netherlands,,14:30,MXP,Milan Malpensa,Italy,T2,16:15,495,105
EZY4232,AMS,Amsterdam,Netherlands,,16:35,NAP,Naples,Italy,,19:00,827,145
EZY1753,AMS,Amsterdam,Netherlands,,17:35,NCE,Nice,France,Terminal 2,19:30,588,115
EZY7925,AMS,Amsterdam,Netherlands,,07:05,PRG,Prague,Czech,Terminal 2,08:35,439,90
EZY7929,AMS,Amsterdam,Netherlands,,18:35,PRG,Prague,Czech,Terminal 2,20:05,439,90
EZY7803,AMS,Amsterdam,Netherlands,,11:15,PMO,Sicily Palermo,Italy,,14:05,1053,170
EZY7907,AMS,Amsterdam,Netherlands,,11:50,SPU,Split,Croatia,,14:00,742,130
EZY7971,AMS,Amsterdam,Netherlands,,07:40,TLV,Tel Aviv,Israel,Terminal 1,13:15,1933,275
EZY4072,AMS,Amsterdam,Netherlands,,20:15,VCE,Venice Marco Polo,Italy,,22:05,575,110
EZY7816,AMS,Amsterdam,Netherlands,,11:40,VCE,Venice Marco Polo,Italy,,13:30,575,110
EZY8556,AYT,Antalya,Turkey,Terminal 2,14:15,LGW,London Gatwick,United Kingdom,North Terminal,16:50,1810,275
EZY8558,AYT,Antalya,Turkey,Terminal 2,23:00,LGW,London Gatwick,United Kingdom,North Terminal,06 Jun 01:25,1810,265
EZY8560,AYT,Antalya,Turkey,Terminal 2,00:35,LGW,London Gatwick,United Kingdom,North Terminal,03:00,1810,265
EZY8562,AYT,Antalya,Turkey,Terminal 2,05:05,LGW,London Gatwick,United Kingdom,North Terminal,07:25,1810,260
EZY2140,AYT,Antalya,Turkey,Terminal 2,22:00,MAN,Manchester,United Kingdom,Terminal 1,06 Jun 00:40,1948,280
EZY1146,ATH,Athens,Greece,,10:50,BSL,Basel,Switzerland,checkin Swiss sector,12:45,1073,175
EZY1472,ATH,Athens,Greece,,10:35,GVA,Geneva,Switzerland,,12:35,1077,180
EZY8182,ATH,Athens,Greece,,12:10,LGW,London Gatwick,United Kingdom,North Terminal,14:05,1489,235
EZY8186,ATH,Athens,Greece,,21:05,LGW,London Gatwick,United Kingdom,North Terminal,22:55,1489,230
EZY2060,ATH,Athens,Greece,,22:00,MAN,Manchester,United Kingdom,Terminal 1,06 Jun 00:05,1641,245
EZY3654,ATH,Athens,Greece,,18:05,MXP,Milan Malpensa,Italy,T2,19:45,946,160
EZY4166,ATH,Athens,Greece,,10:20,NAP,Naples,Italy,,11:05,538,105
EZY7101,BCN,Barcelona,Spain,Terminal 2C,07:40,BSL,Basel,Switzerland,checkin Swiss sector,09:35,511,115
EZY7103,BCN,Barcelona,Spain,Terminal 2C,18:35,BSL,Basel,Switzerland,checkin Swiss sector,20:30,511,115
EZY7193,BCN,Barcelona,Spain,Terminal 2C,06:40,BFS,Belfast Intl,United Kingdom,,08:25,998,165
EZY7174,BCN,Barcelona,Spain,Terminal 2C,12:05,BER,Berlin Brandenburg,Germany,Terminal 1,14:55,1053,170
EZY2704,BCN,Barcelona,Spain,Terminal 2C,14:20,BRS,Bristol,United Kingdom,,15:40,733,140
EZY2706,BCN,Barcelona,Spain,Terminal 2C,22:15,BRS,Bristol,United Kingdom,,23:30,733,135
EZY1376,BCN,Barcelona,Spain,Terminal 2C,12:40,GVA,Geneva,Switzerland,,14:25,396,105
EZY7105,BCN,Barcelona,Spain,Terminal 2C,07:10,GVA,Geneva,Switzerland,,08:45,396,95
EZY7107,BCN,Barcelona,Spain,Terminal 2C,14:45,GVA,Geneva,Switzerland,,16:30,396,105
EZY7109,BCN,Barcelona,Spain,Terminal 2C,18:40,GVA,Geneva,Switzerland,,20:20,396,100
EZY6702,BCN,Barcelona,Spain,Terminal 2C,17:50,LIS,Lisbon,Portugal,T1,18:50,637,120
EZY7196,BCN,Barcelona,Spain,Terminal 2C,07:50,LGW,London Gatwick,United Kingdom,North Terminal,09:15,689,145
EZY8056,BCN,Barcelona,Spain,Terminal 2C,11:15,LGW,London Gatwick,United Kingdom,North Terminal,12:40,689,145
EZY8058,BCN,Barcelona,Spain,Terminal 2C,15:20,LGW,London Gatwick,United Kingdom,North Terminal,16:45,689,145
EZY2326,BCN,Barcelona,Spain,Terminal 2C,16:35,LTN,London Luton,United Kingdom,,18:00,740,145
EZY4384,BCN,Barcelona,Spain,Terminal 2C,17:10,LYS,Lyon,France,T1,18:40,341,90
EZY2002,BCN,Barcelona,Spain,Terminal 2C,10:05,MAN,Manchester,United Kingdom,Terminal 1,11:50,1010,165
EZY3754,BCN,Barcelona,Spain,Terminal 2C,21:40,MXP,Milan Malpensa,Italy,T2,23:25,448,105
EZY3756,BCN,Barcelona,Spain,Terminal 2C,17:30,MXP,Milan Malpensa,Italy,T2,19:15,448,105
EZY3778,BCN,Barcelona,Spain,Terminal 2C,11:35,MXP,Milan Malpensa,Italy,T2,13:15,448,100
EZY7153,BCN,Barcelona,Spain,Terminal 2C,13:20,MXP,Milan Malpensa,Italy,T2,15:05,448,105
EZY7158,BCN,Barcelona,Spain,Terminal 2C,13:10,NAP,Naples,Italy,,15:10,637,120
EZY1708,BCN,Barcelona,Spain,Terminal 2C,15:10,NCE,Nice,France,Terminal 2,16:30,309,80
EZY7131,BCN,Barcelona,Spain,Terminal 2C,19:35,NCE,Nice,France,Terminal 2,20:55,309,80
EZY4582,BCN,Barcelona,Spain,Terminal 2C,09:55,CDG,Paris Charles de Gaulle,France,,12:00,533,125
EZY7135,BCN,Barcelona,Spain,Terminal 2C,18:00,CDG,Paris Charles de Gaulle,France,,20:05,533,125
EZY3524,BRI,Bari,Italy,,09:25,MXP,Milan Malpensa,Italy,T2,11:05,509,100
EZY3532,BRI,Bari,Italy,,21:50,MXP,Milan Malpensa,Italy,T2,23:25,509,95
EZY1011,BSL,Basel,Switzerland,checkin Swiss sector,06:30,ALC,Alicante,Spain,,08:45,761,135
EZY1221,BSL,Basel,Switzerland,checkin Swiss sector,06:10,AMS,Amsterdam,Netherlands,,07:45,349,95
EZY1223,BSL,Basel,Switzerland,checkin Swiss sector,15:10,AMS,Amsterdam,Netherlands,,16:40,349,90
EZY7864,BSL,Basel,Switzerland,checkin Swiss sector,20:45,AMS,Amsterdam,Netherlands,,22:15,349,90
EZY1145,BSL,Basel,Switzerland,checkin Swiss sector,06:00,ATH,Athens,Greece,,09:45,1010,165
EZY7102,BSL,Basel,Switzerland,checkin Swiss sector,10:05,BCN,Barcelona,Spain,Terminal 2C,11:50,511,105
EZY7104,BSL,Basel,Switzerland,checkin Swiss sector,21:05,BCN,Barcelona,Spain,Terminal 2C,22:50,511,105
EZY1185,BSL,Basel,Switzerland,checkin Swiss sector,06:20,BER,Berlin Brandenburg,Germany,Terminal 1,07:55,450,95
EZY1189,BSL,Basel,Switzerland,checkin Swiss sector,19:00,BER,Berlin Brandenburg,Germany,Terminal 1,20:35,450,95
EZY5186,BSL,Basel,Switzerland,checkin Swiss sector,11:50,BER,Berlin Brandenburg,Germany,Terminal 1,13:25,450,95
EZY1069,BSL,Basel,Switzerland,checkin Swiss sector,06:00,BOD,Bordeaux,France,Billi L,07:30,439,90
EZY1071,BSL,Basel,Switzerland,checkin Swiss sector,19:10,BOD,Bordeaux,France,Billi L,20:40,439,90
EZY1119,BSL,Basel,Switzerland,checkin Swiss sector,18:35,BDS,Brindisi,Italy,,20:35,704,120
EZY2882,BSL,Basel,Switzerland,checkin Swiss sector,20:50,BRS,Bristol,United Kingdom,,21:35,538,105
EZY1213,BSL,Basel,Switzerland,checkin Swiss sector,19:05,BUD,Budapest,Hungary,Terminal 2,20:45,548,100
EZY1263,BSL,Basel,Switzerland,checkin Swiss sector,13:00,CPH,Copenhagen,Denmark,,14:50,597,110
EZY1231,BSL,Basel,Switzerland,checkin Swiss sector,13:40,EDI,Edinburgh,United Kingdom,,15:00,742,140
EZY1181,BSL,Basel,Switzerland,checkin Swiss sector,06:30,HAM,Hamburg,Germany,Terminal 1,08:00,431,90
EZY1183,BSL,Basel,Switzerland,checkin Swiss sector,17:15,HAM,Hamburg,Germany,Terminal 1,18:45,431,90
EZY1017,BSL,Basel,Switzerland,checkin Swiss sector,17:40,IBZ,Ibiza,Spain,,19:40,637,120
EZY1121,BSL,Basel,Switzerland,checkin Swiss sector,17:00,SUF,Lamezia,Italy,,19:10,742,130
EZY7646,BSL,Basel,Switzerland,checkin Swiss sector,10:30,LIS,Lisbon,Portugal,T1,12:20,1035,170
EZY8476,BSL,Basel,Switzerland,checkin Swiss sector,07:00,LGW,London Gatwick,United Kingdom,North Terminal,07:35,426,95
EZY8484,BSL,Basel,Switzerland,checkin Swiss sector,18:05,LGW,London Gatwick,United Kingdom,North Terminal,18:40,426,95
EZY1015,BSL,Basel,Switzerland,checkin Swiss sector,13:30,MAD,Madrid,Spain,Terminal 1,15:55,737,145
EZY7272,BSL,Basel,Switzerland,checkin Swiss sector,09:20,PMI,Majorca Palma,Spain,,11:15,604,115
EZY7274,BSL,Basel,Switzerland,checkin Swiss sector,16:00,PMI,Majorca Palma,Spain,,17:50,604,110
EZY7276,BSL,Basel,Switzerland,checkin Swiss sector,21:00,PMI,Majorca Palma,Spain,,22:50,604,110
EZY1007,BSL,Basel,Switzerland,checkin Swiss sector,10:40,AGP,Malaga,Spain,,13:15,972,155
EZY2182,BSL,Basel,Switzerland,checkin Swiss sector,18:05,MAN,Manchester,United Kingdom,Terminal 1,18:55,587,110
EZY1057,BSL,Basel,Switzerland,checkin Swiss sector,10:40,MRS,Marseille Provence,France,Terminal 2,12:00,311,80
EZY1075,BSL,Basel,Switzerland,checkin Swiss sector,10:05,MPL,Montpellier,France,,11:25,327,80
EZY4778,BSL,Basel,Switzerland,checkin Swiss sector,16:50,NTE,Nantes,France,,18:25,430,95
EZY4222,BSL,Basel,Switzerland,checkin Swiss sector,14:40,NAP,Naples,Italy,,16:25,571,105
EZY4230,BSL,Basel,Switzerland,checkin Swiss sector,20:10,NAP,Naples,Italy,,21:50,571,100
EZY1051,BSL,Basel,Switzerland,checkin Swiss sector,09:55,NCE,Nice,France,Terminal 2,11:15,272,80
EZY1055,BSL,Basel,Switzerland,checkin Swiss sector,19:45,NCE,Nice,France,Terminal 2,21:00,272,75
EZY7732,BSL,Basel,Switzerland,checkin Swiss sector,10:15,OPO,Porto,Portugal,,11:45,911,150
EZY7734,BSL,Basel,Switzerland,checkin Swiss sector,16:05,OPO,Porto,Portugal,,17:35,911,150
EZY1269,BSL,Basel,Switzerland,checkin Swiss sector,14:40,PRG,Prague,Czech,Terminal 2,16:05,387,85
EZY1205,BSL,Basel,Switzerland,checkin Swiss sector,14:00,PRN,Pristina,Kosovo,Terminal 1,16:10,745,130
EZY1123,BSL,Basel,Switzerland,checkin Swiss sector,06:10,FCO,Rome Fiumicino,Italy,Terminal 3,07:45,462,95
EZY1021,BSL,Basel,Switzerland,checkin Swiss sector,12:25,SCQ,Santiago de Compostela,Spain,,14:50,841,145
EZY1105,BSL,Basel,Switzerland,checkin Swiss sector,10:25,OLB,Sardinia Olbia,Italy,Terminal 1,12:00,472,95
EZY1117,BSL,Basel,Switzerland,checkin Swiss sector,17:10,CTA,Sicily Catania,Italy,Terminal A,19:20,797,130
EZY1163,BSL,Basel,Switzerland,checkin Swiss sector,11:20,SPU,Split,Croatia,,12:55,509,95
EZY4962,BSL,Basel,Switzerland,checkin Swiss sector,12:45,TLS,Toulouse,France,,14:10,405,85
EZY1001,BSL,Basel,Switzerland,checkin Swiss sector,06:35,VLC,Valencia,Spain,,08:45,742,130
EZY4084,BSL,Basel,Switzerland,checkin Swiss sector,12:35,VCE,Venice Marco Polo,Italy,,13:45,271,70
EZY4512,BIA,Bastia Corsica,France,,09:55,CDG,Paris Charles de Gaulle,France,,11:45,557,110
EZY262,BHD,Belfast City (George Best),United Kingdom,Terminal 1,08:40,BRS,Bristol,United Kingdom,,09:45,232,65
EZY473,BHD,Belfast City (George Best),United Kingdom,Terminal 1,08:00,GLA,Glasgow,United Kingdom,,08:50,162,50
EZY532,BHD,Belfast City (George Best),United Kingdom,Terminal 1,07:45,LPL,Liverpool,United Kingdom,,08:35,162,50
EZY534,BHD,Belfast City (George Best),United Kingdom,Terminal 1,18:00,LPL,Liverpool,United Kingdom,,18:50,162,50
EZY802,BHD,Belfast City (George Best),United Kingdom,Terminal 1,08:50,LGW,London Gatwick,United Kingdom,North Terminal,10:20,399,90
EZY3007,BFS,Belfast Intl,United Kingdom,,09:45,ALC,Alicante,Spain,,13:45,1162,180
EZY3051,BFS,Belfast Intl,United Kingdom,,18:50,AMS,Amsterdam,Netherlands,,21:25,481,95
EZY7194,BFS,Belfast Intl,United Kingdom,,09:00,BCN,Barcelona,Spain,Terminal 2C,12:35,998,155
EZY25,BFS,Belfast Intl,United Kingdom,,06:00,BHX,Birmingham,United Kingdom,,07:05,239,65
EZY27,BFS,Belfast Intl,United Kingdom,,08:55,BHX,Birmingham,United Kingdom,,10:00,239,65
EZY29,BFS,Belfast Intl,United Kingdom,,13:35,BHX,Birmingham,United Kingdom,,14:40,239,65
EZY31,BFS,Belfast Intl,United Kingdom,,17:05,BHX,Birmingham,United Kingdom,,18:10,239,65
EZY33,BFS,Belfast Intl,United Kingdom,,20:25,BHX,Birmingham,United Kingdom,,21:30,239,65
EZY224,BFS,Belfast Intl,United Kingdom,,07:55,BRS,Bristol,United Kingdom,,09:00,269,65
EZY226,BFS,Belfast Intl,United Kingdom,,09:40,BRS,Bristol,United Kingdom,,10:45,269,65
EZY228,BFS,Belfast Intl,United Kingdom,,18:20,BRS,Bristol,United Kingdom,,19:25,269,65
EZY230,BFS,Belfast Intl,United Kingdom,,21:50,BRS,Bristol,United Kingdom,,22:55,269,65
EZY57,BFS,Belfast Intl,United Kingdom,,16:10,EDI,Edinburgh,United Kingdom,,17:00,143,50
EZY59,BFS,Belfast Intl,United Kingdom,,20:50,EDI,Edinburgh,United Kingdom,,21:40,143,50
EZY324,BFS,Belfast Intl,United Kingdom,,08:25,EDI,Edinburgh,United Kingdom,,09:20,143,55
EZY328,BFS,Belfast Intl,United Kingdom,,17:40,EDI,Edinburgh,United Kingdom,,18:30,143,50
EZY330,BFS,Belfast Intl,United Kingdom,,21:30,EDI,Edinburgh,United Kingdom,,22:20,143,50
EZY3043,BFS,Belfast Intl,United Kingdom,,10:45,FAO,Faro,Portugal,,13:45,1221,180
EZY3045,BFS,Belfast Intl,United Kingdom,,16:30,FAO,Faro,Portugal,,19:30,1221,180
EZY51,BFS,Belfast Intl,United Kingdom,,06:10,GLA,Glasgow,United Kingdom,,06:55,110,45
EZY61,BFS,Belfast Intl,United Kingdom,,18:00,GLA,Glasgow,United Kingdom,,18:45,110,45
EZY420,BFS,Belfast Intl,United Kingdom,,12:20,GLA,Glasgow,United Kingdom,,13:05,110,45
EZY422,BFS,Belfast Intl,United Kingdom,,15:10,GLA,Glasgow,United Kingdom,,15:55,110,45
EZY424,BFS,Belfast Intl,United Kingdom,,21:25,GLA,Glasgow,United Kingdom,,22:10,110,45
EZY11,BFS,Belfast Intl,United Kingdom,,14:05,IOM,Isle of Man,United Kingdom,Terminal 1,14:45,89,40
EZY47,BFS,Belfast Intl,United Kingdom,,13:10,LBA,Leeds Bradford,United Kingdom,,14:10,202,60
EZY77,BFS,Belfast Intl,United Kingdom,,07:30,LPL,Liverpool,United Kingdom,,08:20,165,50
EZY502,BFS,Belfast Intl,United Kingdom,,10:45,LPL,Liverpool,United Kingdom,,11:35,165,50
EZY508,BFS,Belfast Intl,United Kingdom,,14:55,LPL,Liverpool,United Kingdom,,15:45,165,50
EZY510,BFS,Belfast Intl,United Kingdom,,21:05,LPL,Liverpool,United Kingdom,,21:55,165,50
EZY512,BFS,Belfast Intl,United Kingdom,,22:00,LPL,Liverpool,United Kingdom,,22:50,165,50
EZY818,BFS,Belfast Intl,United Kingdom,,06:10,LGW,London Gatwick,United Kingdom,North Terminal,07:40,350,90
EZY820,BFS,Belfast Intl,United Kingdom,,18:30,LGW,London Gatwick,United Kingdom,North Terminal,19:55,350,85
EZY824,BFS,Belfast Intl,United Kingdom,,08:15,LGW,London Gatwick,United Kingdom,North Terminal,09:40,350,85
EZY826,BFS,Belfast Intl,United Kingdom,,14:00,LGW,London Gatwick,United Kingdom,North Terminal,15:30,350,90
EZY828,BFS,Belfast Intl,United Kingdom,,16:35,LGW,London Gatwick,United Kingdom,North Terminal,18:00,350,85
EZY832,BFS,Belfast Intl,United Kingdom,,20:35,LGW,London Gatwick,United Kingdom,North Terminal,22:00,350,85
EZY17,BFS,Belfast Intl,United Kingdom,,10:30,LTN,London Luton,United Kingdom,,11:40,309,70
EZY19,BFS,Belfast Intl,United Kingdom,,17:40,LTN,London Luton,United Kingdom,,18:50,309,70
EZY21,BFS,Belfast Intl,United Kingdom,,20:10,LTN,London Luton,United Kingdom,,21:20,309,70
EZY35,BFS,Belfast Intl,United Kingdom,,05:55,STN,London Stansted,United Kingdom,,07:10,329,75
EZY37,BFS,Belfast Intl,United Kingdom,,10:05,STN,London Stansted,United Kingdom,,11:20,329,75
EZY41,BFS,Belfast Intl,United Kingdom,,16:35,STN,London Stansted,United Kingdom,,17:55,329,80
EZY43,BFS,Belfast Intl,United Kingdom,,20:10,STN,London Stansted,United Kingdom,,21:30,329,80
EZY3011,BFS,Belfast Intl,United Kingdom,,10:25,PMI,Majorca Palma,Spain,,14:20,1124,175
EZY7258,BFS,Belfast Intl,United Kingdom,,20:50,PMI,Majorca Palma,Spain,,06 Jun 00:40,1124,170
EZY3014,BFS,Belfast Intl,United Kingdom,,14:55,AGP,Malaga,Spain,,19:00,1245,185
EZY89,BFS,Belfast Intl,United Kingdom,,07:05,MAN,Manchester,United Kingdom,Terminal 1,08:05,184,60
EZY702,BFS,Belfast Intl,United Kingdom,,08:40,MAN,Manchester,United Kingdom,Terminal 1,09:40,184,60
EZY704,BFS,Belfast Intl,United Kingdom,,13:40,MAN,Manchester,United Kingdom,Terminal 1,14:35,184,55
EZY706,BFS,Belfast Intl,United Kingdom,,16:35,MAN,Manchester,United Kingdom,Terminal 1,17:30,184,55
EZY708,BFS,Belfast Intl,United Kingdom,,21:05,MAN,Manchester,United Kingdom,Terminal 1,22:00,184,55
EZY67,BFS,Belfast Intl,United Kingdom,,07:00,NCL,Newcastle,United Kingdom,,07:50,182,50
EZY69,BFS,Belfast Intl,United Kingdom,,10:00,NCL,Newcastle,United Kingdom,,10:50,182,50
EZY73,BFS,Belfast Intl,United Kingdom,,17:05,NCL,Newcastle,United Kingdom,,17:55,182,50
EZY4642,BFS,Belfast Intl,United Kingdom,,14:35,CDG,Paris Charles de Gaulle,France,,17:25,541,110
EZY3017,BFS,Belfast Intl,United Kingdom,,13:55,TFS,Tenerife South,Spain,,18:35,1959,280
EZY1492,BEG,Belgrade,Serbia,,20:50,GVA,Geneva,Switzerland,,22:55,695,125
EZY5281,BER,Berlin Brandenburg,Germany,Terminal 1,06:30,AMS,Amsterdam,Netherlands,,08:00,399,90
EZY5283,BER,Berlin Brandenburg,Germany,Terminal 1,11:50,AMS,Amsterdam,Netherlands,,13:20,399,90
EZY5287,BER,Berlin Brandenburg,Germany,Terminal 1,19:30,AMS,Amsterdam,Netherlands,,21:00,399,90
EZY7173,BER,Berlin Brandenburg,Germany,Terminal 1,15:30,BCN,Barcelona,Spain,Terminal 2C,18:05,921,155
